hogar_id,ingreso_mensual
1,5994.0
2,10094.0
3,
4,1093.0
5,765.0
6,2647.0
7,5199.0
8,3854.0
9,
10,4733.0
11,4306.0
12,1343.0
13,975.0
14,8829.0
15,2606.0
16,4983.0
17,776.0
18,1725.0
19,834.0
20,1293.0
21,5386.0
22,710.0
23,1588.0
24,2873.0
25,1416.0
26,2017.0
27,2070.0
28,3567.0
29,1733.0
30,3151.0
31,2624.0
32,3586.0
33,3027.0
34,10230.0
35,1422.0
36,6928.0
37,1775.0
38,1107.0
39,6999.0
40,1721.0
41,1798.0
42,768.0
43,420.0
44,4286.0
45,928.0
46,4844.0
47,
48,2268.0
49,960.0
50,3495.0
51,4777.0
52,2001.0
53,2537.0
54,
55,7330.0
56,4571.0
57,1197.0
58,2389.0
59,4174.0
60,2088.0
61,1489.0
62,1304.0
63,1461.0
64,1413.0
65,1704.0
66,6620.0
67,1266.0
68,5313.0
69,3565.0
70,2815.0
71,1237.0
72,1696.0
73,13381.0
74,2720.0
75,3950.0
76,4392.0
77,6132.0
78,2043.0
79,1488.0
80,2376.0
81,2003.0
82,4896.0
83,2937.0
84,3064.0
85,2828.0
86,7102.0
87,1576.0
88,1665.0
89,5305.0
90,2284.0
91,3397.0
92,1345.0
93,2550.0
94,3609.0
95,809.0
96,1385.0
97,3582.0
98,16908.0
99,3703.0
100,2378.0
101,1219.0
102,3487.0
103,298.0
104,2397.0
105,1888.0
106,1608.0
107,17968.0
108,305.0
109,2453.0
110,2651.0
111,3719.0
112,641.0
113,1681.0
114,701.0
115,2243.0
116,2953.0
117,2875.0
118,2113.0
119,2928.0
120,2907.0
121,3528.0
122,2554.0
123,549.0
124,1251.0
125,3354.0
126,1153.0
127,1268.0
128,2753.0
129,2405.0
130,5344.0
131,3863.0
132,1727.0
133,2755.0
134,220.0
135,1269.0
136,2206.0
137,329.0
138,1901.0
139,3096.0
140,6025.0
141,3521.0
142,12403.0
143,9162.0
144,623.0
145,2063.0
146,2189.0
147,2703.0
148,
149,4200.0
150,4709.0
151,684.0
152,5584.0
153,1442.0
154,6136.0
155,4040.0
156,2237.0
157,13550.0
158,5328.0
159,2570.0
160,3089.0
161,
162,8338.0
163,
164,3002.0
165,4034.0
166,2836.0
167,683.0
168,5307.0
169,3557.0
170,793.0
171,1448.0
172,2025.0
173,3297.0
174,10868.0
175,2538.0
176,480.0
177,4343.0
178,2167.0
179,568.0
180,359.0
181,1012.0
182,3448.0
183,1312.0
184,4162.0
185,1969.0
186,2922.0
187,4544.0
188,4089.0
189,1022.0
190,12873.0
191,466.0
192,2131.0
193,1049.0
194,6875.0
195,821.0
196,1038.0
197,949.0
198,775.0
199,1536.0
200,2914.0
201,1096.0
202,592.0
203,1969.0
204,2405.0
205,4520.0
206,1240.0
207,2105.0
208,5337.0
209,1062.0
210,2275.0
211,1818.0
212,725.0
213,2238.0
214,6418.0
215,16652.0
216,725.0
217,5463.0
218,6383.0
219,6970.0
220,1713.0
221,3243.0
222,1476.0
223,3997.0
224,6876.0
225,2011.0
226,2996.0
227,5154.0
228,4569.0
229,1415.0
230,
231,3749.0
232,2832.0
233,2571.0
234,4500.0
235,5962.0
236,847.0
237,1190.0
238,575.0
239,3633.0
240,3460.0
241,1854.0
242,982.0
243,7597.0
244,9727.0
245,9555.0
246,2606.0
247,2815.0
248,2809.0
249,2227.0
250,880.0
251,1493.0
252,4999.0
253,2494.0
254,1667.0
255,2018.0
256,
257,
258,6379.0
259,2905.0
260,894.0
261,2948.0
262,1900.0
263,4233.0
264,5967.0
265,1400.0
266,7666.0
267,2626.0
268,2699.0
